Playlist Health Check Report
Generated: 2026-07-24 02:48 UTC

--- Details ---

[OK] Supersix Lombardia | OK | EPG MISSING
[OK] TeleBoario | OK | EPG MISSING
[OK] Telecity Lombardia | OK | EPG MISSING
[OK] TeleColor Lombardia | OK | EPG MISSING
[OK] TeleLeonessa | OK | EPG MISSING
[OK] TeleLeonessa | OK | EPG MISSING
[OK] TeleLeonessa | OK | EPG MISSING
[OK] TeleMantova | OK | EPG MISSING
[OK] TeleMantova | OK | EPG MISSING
[OK] Tele Pavia | OK | EPG MISSING
[OK] Tele Pavia | OK | EPG MISSING
[OK] Tele Piadena | OK | EPG MISSING
[OK] Telenova | OK | EPG MISSING
[OK] Telereporter | OK | EPG MISSING
[OK] Tsn Tele Sondrio News | OK | EPG MISSING
[OK] TSN | OK | EPG MISSING
[OK] Tele Tutto | OK | EPG MISSING
[OK] Tele Tutto 2 | OK | EPG MISSING
[OK] Tele Tutto 24 | OK | EPG MISSING
[OK] Unica TV | OK | EPG MISSING
[DOWN] Valenza TV | DOWN | EPG MISSING
[OK] Video Brescia | OK | EPG MISSING
[SKIP] === Marche=== | Placeholder
[OK] Rai 3 TGR Marche | OK | EPG MISSING
[OK] Arancia Television | OK | EPG MISSING
[OK] Emme Tv | OK | EPG MISSING
[OK] Etv Marche | OK | EPG MISSING
[OK] ETV+ | OK | EPG MISSING
[OK] Fano Tv | OK | EPG MISSING
[DOWN] FMTv Fermo Tv | DOWN | EPG MISSING
[OK] RADIO LINEA N.1 TV | OK | EPG MISSING
[OK] Rossini TV | OK | EPG MISSING
[OK] RTM | OK | EPG MISSING
[OK] SKYLINE TV | OK | EPG MISSING
[OK] Studio 7 TV | OK | EPG MISSING
[OK] Super J | OK | EPG MISSING
[OK] Tele2000 | OK | EPG MISSING
[OK] TVRS Marche | OK | EPG MISSING
[OK] VeraTV | OK | EPG MISSING
[OK] VeraTv | OK | EPG MISSING
[OK] VideoTolentino | OK | EPG MISSING
[SKIP] === Molise=== | Placeholder
[OK] Rai 3 TGR Molise | OK | EPG MISSING
[OK] Diciotto | OK | EPG MISSING
[OK] Info Media News | OK | EPG MISSING
[OK] ItaliaCable | OK | EPG MISSING
[OK] Media TV | OK | EPG MISSING
[OK] Rete 8 | OK | EPG MISSING
[OK] Rete 8 Sport | OK | EPG MISSING
[OK] Telemax | OK | EPG MISSING
[OK] Telemolise | OK | EPG MISSING
[OK] Telemolise | OK | EPG MISSING
[OK] Teleuniverso | OK | EPG MISSING
[OK] TLT Molise | OK | EPG MISSING
